1.0.0	ACT I
4.2.15	I durst, my lord, to wager she is honest, 
4.2.16	Lay down my soul at stake: if you think other, 
4.2.17	Remove your thought; it doth abuse your bosom. 
4.2.18	If any wretch have put this in your head, 
4.2.19	Let heaven requite it with the serpent's curse! 
4.2.20	For, if she be not honest, chaste, and true, 
4.2.21	There's no man happy; the purest of their wives 
4.2.22	Is foul as slander. 
4.2.23	Bid her come hither: go. Exit Emilia. 
4.2.24	She says enough; yet she's a simple bawd 
4.2.25	That cannot say as much. This is a subtle whore, 
4.2.26	A closet lock and key of villanous secrets: 
4.2.27	And yet she'll kneel and pray; I have seen her do't. Enter DESDEMONA with EMILIA. 
4.2.28	My lord, what is your will? 
4.2.29	Pray, chuck, come hither. 
4.2.30	What is your pleasure? 
4.2.31	Let me see your eyes; 
4.2.32	Look in my face. 
4.2.33	What horrible fancy's this?
4.2.34	To Emilia
4.2.35	Some of your function, mistress; 
4.2.36	Leave procreants alone and shut the door; 
4.2.37	Cough, or cry 'hem,' if any body come: 
4.2.38	Your mystery, your mystery: nay, dispatch. Exit Emilia. 
4.2.39	Upon my knees, what doth your speech import? 
4.2.40	I understand a fury in your words, 
4.2.41	But not the words. 
4.2.42	Why, what art thou? 
4.2.43	Your wife, my lord; your true 
4.2.44	And loyal wife. 
4.2.45	Come, swear it, damn thyself; 
4.2.46	Lest, being like one of heaven, the devils themselves 
4.2.47	Should fear to seize thee: therefore be double damn'd: 
4.2.48	Swear thou art honest. 
4.2.49	Heaven doth truly know it. 
4.2.50	Heaven truly knows that thou art false as hell. 
4.2.51	To whom, my lord? with whom? how am I false? 
4.2.52	O Desdemona! away! away! away! 
4.2.53	Alas the heavy day! Why do you weep? 
4.2.54	Am I the motive of these tears, my lord? 
4.2.55	If haply you my father do suspect 
4.2.56	An instrument of this your calling back, 
4.2.57	Lay not your blame on me: if you have lost him, 
4.2.58	Why, I have lost him too. 
4.2.59	Had it pleased heaven 
4.2.60	To try me with affliction; had they rain'd 
4.2.61	All kinds of sores and shames on my bare head, 
4.2.62	Steep'd me in poverty to the very lips, 
4.2.63	Given to captivity me and my utmost hopes, 
4.2.64	I should have found in some place of my soul 
4.2.65	A drop of patience: but, alas, to make me 
4.2.66	A fixed figure for the time of scorn 
4.2.67	To point his slow unmoving finger at! 
4.2.68	Yet could I bear that too; well, very well: 
4.2.69	But there, where I have garner'd up my heart, 
4.2.70	Where either I must live, or bear no life; 
4.2.71	The fountain from the which my current runs, 
4.2.72	Or else dries up; to be discarded thence! 
4.2.73	Or keep it as a cistern for foul toads 
4.2.74	To knot and gender in! Turn thy complexion there, 
4.2.75	Patience, thou young and rose-lipp'd cherubin,-- 
4.2.76	Ay, there, look grim as hell! 
4.2.77	I hope my noble lord esteems me honest. 
4.2.78	O, ay; as summer flies are in the shambles, 
4.2.79	That quicken even with blowing. O thou weed, 
4.2.80	Who art so lovely fair and smell'st so sweet 
4.2.81	That the sense aches at thee, would thou hadst ne'er been born! 
4.2.82	Alas, what ignorant sin have I committed? 
4.2.83	Was this fair paper, this most goodly book, 
4.2.84	Made to write 'whore' upon? What committed! 
4.2.85	Committed! O thou public commoner! 
4.2.86	I should make very forges of my cheeks, 
4.2.87	That would to cinders burn up modesty, 
4.2.88	Did I but speak thy deeds. What committed! 
4.2.89	Heaven stops the nose at it and the moon winks, 
4.2.90	The bawdy wind that kisses all it meets 
4.2.91	Is hush'd within the hollow mine of earth. 
4.2.92	And will not hear it. What committed! 
4.2.93	Impudent strumpet! 
4.2.94	By heaven, you do me wrong. 
4.2.95	Are not you a strumpet? 
4.2.96	No, as I am a Christian: 
4.2.97	If to preserve this vessel for my lord 
4.2.98	>From any other foul unlawful touch 
4.2.99	Be not to be a strumpet, I am none. 
4.2.100	What, not a whore? 
4.2.101	No, as I shall be saved. 
4.2.102	Is't possible? 
4.2.103	O, heaven forgive us! 
4.2.104	I cry you mercy, then: 
4.2.105	I took you for that cunning whore of Venice 
4.2.106	That married with Othello. Raising his voice 
4.2.107	You, mistress, 
4.2.108	That have the office opposite to Saint Peter, 
4.2.109	And keep the gate of hell! Re-enter EMILIA.
4.2.110	You, you, ay, you! 
4.2.111	We have done our course; there's money for your pains: 
4.2.112	I pray you, turn the key and keep our counsel. Exit. 
4.2.113	Alas, what does this gentleman conceive? 
4.2.114	How do you, madam? how do you, my good lady? 
4.2.115	Faith, half asleep. 
4.2.116	Good madam, what's the matter with my lord? 
4.2.117	With who? 
4.2.118	Why, with my lord, madam. 
4.2.119	Who is thy lord? 
4.2.120	He that is yours, sweet lady. 
4.2.121	I have none: do not talk to me, Emilia; 
4.2.122	I cannot weep; nor answer have I none, 
4.2.123	But what should go by water. Prithee, tonight 
4.2.124	Lay on my bed my wedding sheets: remember; 
4.2.125	And call thy husband hither. 
4.2.126	Here's a change indeed! Exit. 
4.2.127	'Tis meet I should be used so, very meet. 
4.2.128	How have I been behaved, that he might stick 
4.2.129	The small'st opinion on my least misuse? Re-enter EMILIA with IAGO. 
4.2.130	What is your pleasure, madam? How is't with you? 
4.2.131	I cannot tell. Those that do teach young babes 
4.2.132	Do it with gentle means and easy tasks: 
4.2.133	He might have chid me so; for, in good faith, 
4.2.134	I am a child to chiding. 
4.2.135	What's the matter, lady? 
4.2.136	Alas, Iago, my lord hath so bewhored her, 
4.2.137	Thrown such despite and heavy terms upon her, 
4.2.138	As true hearts cannot bear. 
4.2.139	Am I that name, Iago? 
4.2.140	What name, fair lady? 
4.2.141	Such as she says my lord did say I was. 
4.2.142	He call'd her whore: a beggar in his drink 
4.2.143	Could not have laid such terms upon his callet. 
4.2.144	Why did he so? 
4.2.145	I do not know; I am sure I am none such. 
4.2.146	Do not weep, do not weep. Alas the day! 
4.2.147	Hath she forsook so many noble matches, 
4.2.148	Her father and her country and her friends, 
4.2.149	To be call'd whore? would it not make one weep? 
4.2.150	It is my wretched fortune. 
4.2.151	Beshrew him for't! 
4.2.152	How comes this trick upon him? 
4.2.153	Nay, heaven doth know. 
4.2.154	I will be hang'd, if some eternal villain, 
4.2.155	Some busy and insinuating rogue, 
4.2.156	Some cogging, cozening slave, to get some office, 
4.2.157	Have not devised this slander; I'll be hang'd else. 
4.2.158	Fie, there is no such man; it is impossible. 
4.2.159	If any such there be, heaven pardon him! 
4.2.160	A halter pardon him! and hell gnaw his bones! 
4.2.161	Why should he call her whore? who keeps her company? 
4.2.162	What place? what time? what form? what likelihood? 
4.2.163	The Moor's abused by some most villanous knave, 
4.2.164	Some base notorious knave, some scurvy fellow. 
4.2.165	O heaven, that such companions thou'ldst unfold, 
4.2.166	And put in every honest hand a whip 
4.2.167	To lash the rascals naked through the world 
4.2.168	Even from the east to the west! 
4.2.169	Speak within door. 
4.2.170	O, fie upon them! Some such squire he was 
4.2.171	That turn'd your wit the seamy side without, 
4.2.172	And made you to suspect me with the Moor. 
4.2.173	You are a fool; go to. 
4.2.174	O good Iago, 
4.2.175	What shall I do to win my lord again? 
4.2.176	Good friend, go to him; for, by this light of heaven, 
4.2.177	I know not how I lost him. Here I kneel: 
4.2.178	If e'er my will did trespass 'gainst his love, 
4.2.179	Either in discourse of thought or actual deed, 
4.2.180	Or that mine eyes, mine ears, or any sense, 
4.2.181	Delighted them in any other form; 
4.2.182	Or that I do not yet, and ever did, 
4.2.183	And ever will--though he do shake me off 
4.2.184	To beggarly divorcement:--love him dearly, 
4.2.185	Comfort forswear me! Unkindness may do much; 
4.2.186	And his unkindness may defeat my life, 
4.2.187	But never taint my love. I cannot say 'whore:' 
4.2.188	It doth abhor me now I speak the word; 
4.2.189	To do the act that might the addition earn 
4.2.190	Not the world's mass of vanity could make me. 
4.2.191	I pray you, be content; 'tis but his humour: 
4.2.192	The business of the state does him offence, 
4.2.193	And he does chide with you. 
4.2.194	If 'twere no other,-- 
4.2.195	'Tis but so, I warrant. Trumpets within. 
4.2.196	Hark, how these instruments summon to supper! 
4.2.197	The messengers of Venice stay the meat: 
4.2.198	Go in, and weep not; all things shall be well. Exeunt Desdemona and Emilia. Enter RODERIGO. 
4.2.199	How now, Roderigo! 
4.2.200	I do not find that thou dealest justly with me. 
4.2.201	What in the contrary? 
4.2.202	Every day thou daffest me with some device, Iago; and rather, as it seems to me now, keepest from me all conveniency than suppliest me with the least advantage of hope. I will indeed no longer endure it, nor am I yet persuaded to put up in peace what already I have foolishly suffered. 
4.2.203	Will you hear me, Roderigo? 
4.2.204	'Faith, I have heard too much, for your words and performances are no kin together. 
4.2.205	You charge me most unjustly. 
4.2.206	With nought but truth. I have wasted myself out of my means. The jewels you have had from me to deliver to Desdemona would half have corrupted a votarist: you have told me she hath received them and returned me expectations and comforts of sudden respect and acquaintance, but I find none. 
4.2.207	Well; go to; very well. 
4.2.208	Very well! go to! I cannot go to man; nor 'tis not very well: nay, I think it is scurvy, and begin to find myself fopped in it. 
4.2.209	Very well. 
4.2.210	I tell you 'tis not very well. I will make myself known to Desdemona: if she will return me my jewels, I will give over my suit and repent my unlawful solicitation; if not, assure yourself I will seek satisfaction of you. 
4.2.211	You have said now. 
4.2.212	Ay, and said nothing but what I protest intendment of doing. 
4.2.213	Why, now I see there's mettle in thee, and even from this instant do build on thee a better opinion than ever before. Give me thy hand, Roderigo: thou hast taken against me a most just exception; but yet, I protest, I have dealt most directly in thy affair. 
4.2.214	It hath not appeared. 
4.2.215	I grant indeed it hath not appeared, and your suspicion is not without wit and judgement. But, Roderigo, if thou hast that in thee indeed, which I have greater reason to believe now than ever, I mean purpose, courage and valour, this night show it: if thou the next night following enjoy not Desdemona, take me from this world with treachery and devise engines for my life. 
4.2.216	Well, what is it? is it within reason and compass? 
4.2.217	Sir, there is especial commission come from Venice to depute Cassio in Othello's place. 
4.2.218	Is that true? why, then Othello and 
4.2.219	Desdemona return again to Venice. 
4.2.220	O, no; he goes into Mauritania and takes away with him the fair Desdemona, unless his abode be lingered here by some accident: wherein none can be so determinate as the removing of Cassio. 
4.2.221	How do you mean, removing of him? 
4.2.222	Why, by making him uncapable of 
4.2.223	Othello's place; knocking out his brains. 
4.2.224	And that you would have me to do? 
4.2.225	Ay, if you dare do yourself a profit and a right. He sups to-night with a harlotry and thither will I go to him: he knows not yet of his honourable fortune. If you will watch his going thence, which I will fashion to fall out between twelve and one, you may take him at your pleasure: I will be near to second your attempt, and he shall fall between us. Come, stand not amazed at it, but go along with me; I will show you such a necessity in his death that you shall think yourself bound to put it on him. It is now high supper-time, and the night grows to waste: about it. 
4.2.226	I will hear further reason for this. 
4.2.227	And you shall be satisfied. Exeunt.
4.3.1	Another room in the castle. 
4.3.2	Enter OTHELLO, LODOVICO, DESDEMONA, EMILIA, and Attendants.
4.3.3	I do beseech you, sir, trouble yourself no further. 
4.3.4	O, pardon me; 'twill do me good to walk. 
4.3.5	Madam, good night; I humbly thank your ladyship. 
4.3.6	Your honour is most welcome. 
4.3.7	Will you walk, sir? 
4.3.8	O,--Desdemona,-- 
4.3.9	My lord? 
4.3.10	Get you to bed on the instant; I will be returned forthwith: dismiss your attendant there: look it be done. 
4.3.11	I will, my lord. Exeunt Othello, Lodovico, and Attendants. 
4.3.12	How goes it now? he looks gentler than he did. 
4.3.13	He says he will return incontinent: 
4.3.14	He hath commanded me to go to bed, 
4.3.15	And bade me to dismiss you. 
4.3.16	Dismiss me! 
4.3.17	It was his bidding; therefore, good Emilia, 
4.3.18	Give me my nightly wearing, and adieu: 
4.3.19	We must not now displease him. 
4.3.20	I would you had never seen him! 
4.3.21	So would not I: my love doth so approve him, 
4.3.22	That even his stubbornness, his checks, his frowns,-- 
4.3.23	Prithee, unpin me,--have grace and favour in them. 
4.3.24	I have laid those sheets you bade me on the bed. 
4.3.25	All's one. Good faith, how foolish are our minds! 
4.3.26	If I do die before thee, prithee, shroud me 
4.3.27	In one of those same sheets. 
4.3.28	Come, come, you talk. 
4.3.29	My mother had a maid call'd Barbara: 
4.3.30	She was in love, and he she loved proved mad 
4.3.31	And did forsake her: she had a song of 'willow;' 
4.3.32	An old thing 'twas, but it express'd her fortune, 
4.3.33	And she died singing it: that song to-night 
4.3.34	Will not go from my mind; I have much to do, 
4.3.35	But to go hang my head all at one side, 
4.3.36	And sing it like poor Barbara. Prithee, dispatch. 
4.3.37	Shall I go fetch your night-gown? 
4.3.38	No, unpin me here. 
4.3.39	This Lodovico is a proper man. 
4.3.40	A very handsome man. 
4.3.41	He speaks well. 
4.3.42	I know a lady in Venice would have walked barefoot to Palestine for a touch of his nether lip.
4.3.43	Singing
4.3.44	The poor soul sat sighing by a sycamore tree, 
4.3.45	Sing all a green willow; 
4.3.46	Her hand on her bosom, her head on her knee, 
4.3.47	Sing willow, willow, willow: 
4.3.48	The fresh streams ran by her, and murmur'd her moans; 
4.3.49	Sing willow, willow, willow; 
4.3.50	Her salt tears fell from her, and soften'd the stones; 
4.3.51	Lay by these:-- Singing 
4.3.52	Sing willow, willow, willow; 
4.3.53	Prithee, hie thee; he'll come anon:-- Singing 
4.3.54	Sing all a green willow must be my garland. 
4.3.55	Let nobody blame him; his scorn I approve,-- 
4.3.56	Nay, that's not next.--Hark! who is't that knocks? 
4.3.57	It's the wind.
4.3.58	Singing
4.3.59	I call'd my love false love; but what said he then? 
4.3.60	Sing willow, willow, willow: 
4.3.61	If I court moe women, you'll couch with moe men.-- 
4.3.62	So, get thee gone; good night. Mine eyes do itch; 
4.3.63	Doth that bode weeping? 
4.3.64	'Tis neither here nor there. 
4.3.65	I have heard it said so. O, these men, these men! 
4.3.66	Dost thou in conscience think,--tell me, Emilia,-- 
4.3.67	That there be women do abuse their husbands 
4.3.68	In such gross kind? 
4.3.69	There be some such, no question. 
4.3.70	Wouldst thou do such a deed for all the world? 
4.3.71	Why, would not you? 
4.3.72	No, by this heavenly light! 
4.3.73	Nor I neither by this heavenly light; 
4.3.74	I might do't as well i' the dark. 
4.3.75	Wouldst thou do such a deed for all the world? 
4.3.76	The world's a huge thing: it is a great price 
4.3.77	For a small vice. 
4.3.78	In troth, I think thou wouldst not. 
4.3.79	In troth, I think I should; and un- do't when I had done. Marry, I would not do such a thing for a joint-ring, nor for measures of lawn, nor for gowns, petticoats, nor caps, nor any petty exhibition; but, for the whole world,--why, who would not make her husband a cuckold to make him a monarch? I should venture purgatory for't. 
4.3.80	Beshrew me, if I would do such a wrong 
4.3.81	For the whole world. 
4.3.82	Why, the wrong is but a wrong i' the world; and having the world for your labour, 'tis a wrong in your own world, and you might quickly make it right. 
4.3.83	I do not think there is any such woman. 
4.3.84	Yes, a dozen; and as many to the 
4.3.85	Vantage as would store the world they played for. 
4.3.86	But I do think it is their husbands' faults 
4.3.87	If wives do fall: say that they slack their duties, 
4.3.88	And pour our treasures into foreign laps, 
4.3.89	Or else break out in peevish jealousies, 
4.3.90	Throwing restraint upon us; or say they strike us, 
4.3.91	Or scant our former having in despite; 
4.3.92	Why, we have galls, and though we have some grace, 
4.3.93	Yet have we some revenge. Let husbands know 
4.3.94	Their wives have sense like them: they see and smell 
4.3.95	And have their palates both for sweet and sour, 
4.3.96	As husbands have. What is it that they do 
4.3.97	When they change us for others? Is it sport? 
4.3.98	I think it is: and doth affection breed it? 
4.3.99	I think it doth: is 't frailty that thus errs? 
4.3.100	It is so too: and have not we affections, 
4.3.101	Desires for sport, and frailty, as men have? 
4.3.102	Then let them use us well: else let them know, 
4.3.103	The ills we do, their ills instruct us so. 
4.3.104	Good night, good night: heaven me such uses send, 
4.3.105	Not to pick bad from bad, but by bad mend! Exeunt,
5.0.0	ACT V
5.1.1	Cyprus. A street. 
5.1.2	Enter IAGO and RODERIGO.
5.1.3	Here, stand behind this bulk; straight will he come: 
5.1.4	Wear thy good rapier bare, and put it home: 
5.1.5	Quick, quick; fear nothing; I'll be at thy elbow: 
5.1.6	It makes us, or it mars us; think on that, 
5.1.7	And fix most firm thy resolution. 
5.1.8	Be near at hand; I may miscarry in 't. 
5.1.9	Here, at thy hand: be bold, and take thy stand. Retires. 
5.1.10	I have no great devotion to the deed; 
5.1.11	And yet he hath given me satisfying reasons: 
5.1.12	'Tis but a man gone. Forth, my sword: he dies. 
5.1.13	I have rubb'd this young quat almost to the sense, 
5.1.14	And he grows angry. Now, whether he kill Cassio, 
5.1.15	Or Cassio him, or each do kill the other, 
5.1.16	Every way makes my gain: live Roderigo, 
5.1.17	He calls me to a restitution large 
5.1.18	Of gold and jewels that I bobb'd from him, 
5.1.19	As gifts to Desdemona; 
5.1.20	It must not be: if Cassio do remain, 
5.1.21	He hath a daily beauty in his life 
5.1.22	That makes me ugly; and, besides, the Moor 
5.1.23	May unfold me to him; there stand I in much peril: 
5.1.24	No, he must die. But so: I hear him coming. Enter CASSIO. 
5.1.25	I know his gait, 'tis he.--Villain, thou diest! Makes a pass at Cassio. 
5.1.26	That thrust had been mine enemy indeed, 
5.1.27	But that my coat is better than thou know'st: 
5.1.28	I will make proof of thine. Draws, and wounds Roderigo. 
5.1.29	O, I am slain! Iago from behind wounds Cassio in the leg, and exit. 
5.1.30	I am maim'd for ever. Help, ho! murder! murder! Falls. Enter OTHELLO. 
5.1.31	The voice of Cassio: Iago keeps his word. 
5.1.32	O, villain that I am! 
5.1.33	It is even so. 
5.1.34	O, help, ho! light! a surgeon! 
5.1.35	'Tis he:--O brave Iago, honest and just, 
5.1.36	That hast such noble sense of thy friend's wrong! 
5.1.37	Thou teachest me. Minion, your dear lies dead, 
5.1.38	And your unblest fate hies: strumpet, I come. 
5.1.39	Forth of my heart those charms, thine eyes, are blotted; 
5.1.40	Thy bed, lust-stain'd, shall with lust's blood be spotted. Exit. Enter LODOVlCO and GRATIANO. 
5.1.41	What, ho! no watch? no passage? murder! murder! 
5.1.42	'Tis some mischance; the cry is very direful. 
5.1.43	O, help! 
5.1.44	Hark! 
5.1.45	O wretched villains! 
5.1.46	Two or three groan: it is a heavy night: 
5.1.47	These may be counterfeits: let's think 't unsafe 
5.1.48	To come in to the cry without more help. 
5.1.49	Nobody come? then shall I bleed to death. 
5.1.50	Hark! Re-enter IAGO, with a light. 
5.1.51	Here's one comes in his shirt, with light and weapons. 
5.1.52	Who's there? whose noise is this that cries on murder? 
5.1.53	We do not know. 
5.1.54	Did not you hear a cry? 
5.1.55	Here, here! for heaven's sake, help me! 
5.1.56	What's the matter? 
5.1.57	This is Othello's ancient, as I take it. 
5.1.58	The same indeed; a very valiant fellow. 
5.1.59	What are you here that cry so grievously? 
5.1.60	Iago? O, I am spoil'd, undone by villains! 
5.1.61	Give me some help. 
5.1.62	O me, lieutenant! what villains have done this? 
5.1.63	I think that one of them is hereabout, 
5.1.64	And cannot make away. 
5.1.65	O treacherous villains! 
5.1.66	What are you there? come in, and give some help. To Lodovico and Gratiano, 
5.1.67	O, help me here! 
5.1.68	That's one of them. 
5.1.69	O murderous slave! O villain! Stabs Roderigo, 
5.1.70	O damn'd Iago! O inhuman dog! 
5.1.71	Kill men i' the dark!--Where be these bloody thieves?-- 
5.1.72	How silent is this town! Ho! murder! murder!-- 
5.1.73	What may you be? are you of good or evil? 
5.1.74	As you shall prove us, praise us. 
5.1.75	Signior Lodovico? 
5.1.76	He, sir. 
5.1.77	I cry you mercy. Here's Cassio hurt by villains. 
5.1.78	Cassio! 
5.1.79	How is 't, brother! 
5.1.80	My leg is cut in two. 
5.1.81	Marry, heaven forbid! 
5.1.82	Light, gentlemen: I'll bind it with my shirt. Enter BIANCA. 
5.1.83	What is the matter, ho? who is't that cried? 
5.1.84	Who is't that cried! 
5.1.85	O my dear Cassio! my sweet Cassio! 
5.1.86	O Cassio, Cassio, Cassio! 
5.1.87	O notable strumpet! Cassio, may you suspect 
5.1.88	Who they should be that have thus mangled you? 
5.1.89	No. 
5.1.90	I am sorry to find you thus: I have been to seek you. 
5.1.91	Lend me a garter. So. O, for a chair, 
5.1.92	To bear him easily hence! 
5.1.93	Alas, he faints! O Cassio, Cassio, Cassio! 
5.1.94	Gentlemen all, I do suspect this trash 
5.1.95	To be a party in this injury. 
5.1.96	Patience awhile, good Cassio. Come, come; 
5.1.97	Lend me a light. Know we this face or no? 
5.1.98	Alas, my friend and my dear countryman 
5.1.99	Roderigo! no:--yes, sure:--O heaven! Roderigo. 
5.1.100	What, of Venice? 
5.1.101	Even he, sir: did you know him? 
5.1.102	Know him! ay. 
5.1.103	Signior Gratiano? I cry you gentle pardon; 
5.1.104	These bloody accidents must excuse my manners, 
5.1.105	That so neglected you. 
5.1.106	I am glad to see you. 
5.1.107	How do you, Cassio? O, a chair, a chair! 
5.1.108	Roderigo! 
5.1.109	He, he, 'tis he. A chair brought in. 
5.1.110	O, that's well said; the chair. 
5.1.111	Some good man bear him carefully from hence; 
5.1.112	I'll fetch the general's surgeon. To Bianca 
5.1.113	For you, mistress, 
5.1.114	Save you your labour. He that lies slain here, Cassio, 
5.1.115	Was my dear friend: what malice was between you? 
5.1.116	None in the world; nor do I know the man.
5.1.117	To Bian.
5.1.118	What, look you pale? 
5.1.119	O, bear him out o' the air. Cassio and Roderigo are borne off. 
5.1.120	Stay you, good gentlemen. Look you pale, mistress? 
5.1.121	Do you perceive the gastness of her eye? 
5.1.122	Nay, if you stare, we shall hear more anon. 
5.1.123	Behold her well; I pray you, look upon her: 
5.1.124	Do you see, gentlemen? nay, guiltiness will speak, 
5.1.125	Though tongues were out of use. Enter EMILIA. 
5.1.126	'Las, what's the matter? what's the matter, husband? 
5.1.127	Cassio hath here been set on in the dark 
5.1.128	By Roderigo and fellows that are scaped: 
5.1.129	He's almost slain, and Roderigo dead. 
5.1.130	Alas, good gentlemen alas, good Cassio! 
5.1.131	This is the fruit of whoring. Prithee, Emilia, 
5.1.132	Go know of Cassio where he supp'd to-night. To Bianca 
5.1.133	What, do you shake at that? 
5.1.134	He supp'd at my house; but I therefore shake not. 
5.1.135	O, did he so? I charge you, go with me. 
5.1.136	Fie, fie upon thee, strumpet! 
5.1.137	I am no strumpet; but of life as honest 
5.1.138	As you that thus abuse me. 
5.1.139	As I! foh! fie upon thee! 
5.1.140	Kind gentlemen, let's go see poor Cassio dress'd. 
5.1.141	Come, mistress, you must tell's another tale. 
5.1.142	Emilia, run you to the citadel, 
5.1.143	And tell my lord and lady what hath happ'd. 
5.1.144	Will you go on? I pray. Aside 
5.1.145	This is the night 
5.1.146	That either makes me or fordoes me quite. Exeunt.
5.2.1	A bedchamber in the castle: DESDEMONA in bed asleep; a light burning. 
5.2.2	Enter OTHELLO.
5.2.3	It is the cause, it is the cause, my soul,-- 
5.2.4	Let me not name it to you, you chaste stars!-- 
5.2.5	It is the cause. Yet I'll not shed her blood. 
5.2.6	Nor scar that whiter skin of her than snow, 
5.2.7	And smooth as monumental alabaster. 
5.2.8	Yet she must die, else she'll betray more men. 
5.2.9	Put out the light, and then put out the light: 
5.2.10	If I quench thee, thou flaming minister, 
5.2.11	I can again thy former light restore, 
5.2.12	Should I repent me: but once put out thy light, 
5.2.13	Thou cunning'st pattern of excelling nature, 
5.2.14	I know not where is that Promethean heat 
5.2.15	That can thy light relume. When I have pluck'd the rose, 
5.2.16	I cannot give it vital growth again, 
5.2.17	It must needs wither: I'll smell it on the tree. Kissing her. 
5.2.18	Ah, balmy breath, that doth almost persuade 
5.2.19	Justice to break her sword! One more, one more. 
5.2.20	Be thus when thou art dead, and I will kill thee, 
5.2.21	And love thee after. One more, and this the last: 
5.2.22	So sweet was ne'er so fatal. I must weep, 
5.2.23	But they are cruel tears: this sorrow's heavenly; 
5.2.24	It strikes where it doth love. She wakes. 
5.2.25	Who's there? Othello? 
5.2.26	Ay, Desdemona. 
5.2.27	Will you come to bed, my lord? 
5.2.28	Have you pray'd to-night, Desdemona? 
5.2.29	Ay, my lord. 
5.2.30	If you bethink yourself of any crime 
5.2.31	Unreconciled as yet to heaven and grace, 
5.2.32	Solicit for it straight. 
5.2.33	Alas, my lord, what do you mean by that? 
5.2.34	Well, do it, and be brief; I will walk by: 
5.2.35	I would not kill thy unprepared spirit; 
5.2.36	No; heaven forfend! I would not kill thy soul. 
5.2.37	Talk you of killing? 
5.2.38	Ay, I do. 
5.2.39	Then heaven 
5.2.40	Have mercy on me! 
5.2.41	Amen, with all my heart! 
5.2.42	If you say so, I hope you will not kill me. 
5.2.43	Hum! 
5.2.44	And yet I fear you; for you are fatal then 
5.2.45	When your eyes roll so: why I should fear I know not, 
5.2.46	Since guiltiness I know not; but yet I feel I fear. 
5.2.47	Think on thy sins. 
5.2.48	They are loves I bear to you. 
5.2.49	Ay, and for that thou diest. 
5.2.50	That death's unnatural that kills for loving. 
5.2.51	Alas, why gnaw you so your nether lip? 
5.2.52	Some bloody passion shakes your very frame: 
5.2.53	These are portents: but yet I hope, I hope, 
5.2.54	They do not point on me. 
5.2.55	Peace, and be still! 
5.2.56	I will so. What's the matter? 
5.2.57	That handkerchief which I so loved and gave thee 
5.2.58	Thou gavest to Cassio. 
5.2.59	No, by my life and soul! 
5.2.60	Send for the man, and ask him. 
5.2.61	Sweet soul, take heed, 
5.2.62	Take heed of perjury; thou art on thy deathbed. 
5.2.63	Ay, but not yet to die. 
5.2.64	Yes, presently: 
5.2.65	Therefore confess thee freely of thy sin; 
5.2.66	For to deny each article with oath 
5.2.67	Cannot remove nor choke the strong conception 
5.2.68	That I do groan withal. Thou art to die. 
5.2.69	Then Lord have mercy on me! 
5.2.70	I say, amen. 
5.2.71	And have you mercy too! I never did 
5.2.72	Offend you in my life; never loved Cassio 
5.2.73	But with such general warranty of heaven 
5.2.74	As I might love; I never gave him token. 
5.2.75	By heaven, I saw my handkerchief in's hand. 
5.2.76	O perjured woman! thou dost stone my heart, 
5.2.77	And makest me call what I intended to do 
5.2.78	A murder, which I thought a sacrifice: 
5.2.79	I saw the handkerchief. 
5.2.80	He found it then; 
5.2.81	I never gave it him: send for him hither; 
5.2.82	Let him confess a truth. 
5.2.83	He hath confess'd. 
5.2.84	What, my lord? 
5.2.85	That he hath used thee. 
5.2.86	How? unlawfully? 
5.2.87	Ay. 
5.2.88	He will not say so. 
5.2.89	No, his mouth is stopp'd; 
5.2.90	Honest Iago hath ta'en order for't. 
5.2.91	O! my fear interprets: what, is he dead? 
5.2.92	Had all his hairs been lives, my great revenge 
5.2.93	Had stomach for them all. 
5.2.94	Alas! he is betray'd and I undone. 
5.2.95	Out, strumpet! weep'st thou for him to my face? 
5.2.96	O, banish me, my lord, but kill me not! 
5.2.97	Down, strumpet! 
5.2.98	Kill me to-morrow: let me live tonight! 
5.2.99	Nay, if you strive,-- 
5.2.100	But half an hour! 
5.2.101	Being done, there is no pause. 
5.2.102	But while I say one prayer! 
5.2.103	It is too late. He stifles her. 
5.2.104	Within
5.2.105	My lord, my lord! what, ho! my lord, my lord! 
5.2.106	What noise is this? Not dead? not yet quite dead? 
5.2.107	I that am cruel am yet merciful; 
5.2.108	I would not have thee linger in thy pain: 
5.2.109	So, so.
5.2.110	Within
5.2.111	What, ho! my lord, my lord! 
5.2.112	Who's there?
5.2.113	Within
5.2.114	O, good my lord, I would speak a word with you! 
5.2.115	Yes: 'tis Emilia. By and by. She's dead. 
5.2.116	'Tis like she comes to speak of Cassio's death. 
5.2.117	The noise was here. Ha! no more moving? 
5.2.118	Still as the grave. Shall she come in? were't good ?-- 
5.2.119	I think she stirs again:--no. What's best to do? 
5.2.120	If she come in, she'll sure speak to my wife: 
5.2.121	My wife! my wife! what wife? I have no wife. 
5.2.122	O, insupportable! O heavy hour! 
5.2.123	Methinks it should be now a huge eclipse 
5.2.124	Of sun and moon, and that the affrighted globe 
5.2.125	Should yawn at alteration.
5.2.126	Within
5.2.127	I do beseech you 
5.2.128	That I may speak with you, O, good my lord! 
5.2.129	I had forgot thee: O, come in, Emilia: 
5.2.130	Soft; by and by. Let me the curtains draw. 
5.2.131	Where art thou? Unlocks the door. Enter EMILIA.
5.2.132	What's the matter with thee now? 
